name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;453;0;685;3085;1042;3085;1042;0
header;70;173;70;207;1762;207;1762;173
A;913;251;913;269;932;269;932;251
A;831;342;831;349;837;349;837;342
A;789;653;789;661;797;661;797;653
A;813;878;813;894;824;894;824;878
B;912;903;912;927;931;927;931;903
A;764;1232;764;1240;772;1240;772;1232
C;914;1541;914;1566;935;1566;935;1541
B;657;1894;657;1915;674;1915;674;1894
D;915;2234;915;2258;937;2258;937;2234
D;805;2372;805;2404;828;2404;828;2372
D;891;2515;891;2538;910;2538;910;2515
