name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;238;0;238;3081;1394;3081;1069;0
header;56;139;56;179;1749;179;1749;139
A;898;214;898;238;919;238;919;214
A;375;279;375;284;379;284;379;279
B;541;308;541;328;558;328;558;308
B;570;618;570;638;586;638;586;618
C;1136;709;1136;729;1151;729;1151;709
A;800;842;800;847;805;847;805;842
B;897;874;897;897;915;897;915;874
B;673;1376;673;1396;689;1396;689;1376
C;891;1493;891;1518;911;1518;911;1493
A;870;1951;870;1956;875;1956;875;1951
B;888;2129;888;2157;911;2157;911;2129
B;1275;2438;1275;2457;1290;2457;1290;2438
